   1,6342835.405,2180321.489,342.347
   2,6342835.400,2180321.563,342.364
   3,6342835.388,2180321.593,342.377
   4,6342835.392,2180321.631,342.387
   5,6342835.392,2180321.657,342.393
   6,6342835.338,2180321.567,342.357
   7,6342835.299,2180321.441,342.334
   8,6342835.304,2180321.495,342.357
   9,6342835.284,2180321.440,342.337
  10,6342835.269,2180321.437,342.328
  11,6342835.272,2180321.411,342.305
  12,6342835.274,2180321.423,342.311
  13,6342835.224,2180321.235,342.275
  14,6342835.277,2180321.411,342.314
  15,6342835.253,2180321.259,342.298
  16,6342835.278,2180321.336,342.295
  17,6342835.277,2180321.376,342.311
  18,6342835.382,2180321.655,342.383
  19,6342835.246,2180321.202,342.278
  20,6342835.284,2180321.429,342.308
  21,6342835.256,2180321.235,342.272
  22,6342835.213,2180321.114,342.236
  23,6342835.214,2180321.157,342.246
  24,6342835.230,2180321.218,342.269
  25,6342835.205,2180321.099,342.249
  26,6342835.192,2180321.052,342.226
  27,6342835.190,2180321.094,342.246
  28,6342835.197,2180321.100,342.246
  29,6342835.159,2180321.010,342.190
  30,6342835.171,2180321.088,342.223
  31,6342835.163,2180321.039,342.216
  32,6342835.194,2180321.146,342.226
  33,6342835.160,2180320.997,342.213
  34,6342835.203,2180321.188,342.272
  35,6342835.167,2180321.064,342.213
  36,6342835.197,2180321.168,342.262
  37,6342835.163,2180321.050,342.216
  38,6342835.216,2180321.302,342.278
  39,6342835.201,2180321.213,342.252
  40,6342835.174,2180321.123,342.239
  41,6342835.201,2180321.245,342.246
  42,6342835.169,2180321.122,342.232
  43,6342835.226,2180321.288,342.278
  44,6342835.208,2180321.228,342.282
  45,6342835.222,2180321.303,342.295
  46,6342835.200,2180321.198,342.255
  47,6342835.223,2180321.271,342.308
  48,6342835.307,2180321.604,342.380
  49,6342835.238,2180321.384,342.314
  50,6342835.266,2180321.451,342.328
  51,6342835.291,2180321.593,342.393
  52,6342835.296,2180321.573,342.377
  53,6342835.400,2180321.911,342.508
  54,6342835.401,2180321.921,342.515
  55,6342835.358,2180321.752,342.482
  56,6342835.417,2180321.998,342.551
  57,6342835.406,2180321.920,342.521
  58,6342835.429,2180322.030,342.551
  59,6342835.466,2180322.214,342.603
  60,6342835.442,2180322.095,342.577
  61,6342835.584,2180322.662,342.715
  62,6342835.585,2180322.634,342.708
  63,6342835.579,2180322.619,342.702
  64,6342835.593,2180322.660,342.741
  65,6342835.589,2180322.621,342.731
  66,6342835.576,2180322.615,342.715
  67,6342835.618,2180322.650,342.803
  68,6342835.587,2180322.747,342.803
  69,6342835.586,2180322.731,342.790
  70,6342835.616,2180322.735,342.866
  71,6342835.583,2180322.721,342.820
  72,6342835.587,2180322.717,342.807
  73,6342835.589,2180322.732,342.816
  74,6342835.580,2180322.714,342.816
  75,6342835.578,2180322.724,342.830
  76,6342835.569,2180322.710,342.807
  77,6342835.579,2180322.723,342.813
  78,6342835.575,2180322.724,342.830
  79,6342835.565,2180322.722,342.823
  80,6342835.578,2180322.732,342.787
  81,6342835.576,2180322.740,342.797
  82,6342835.600,2180322.727,342.826
  83,6342835.601,2180322.736,342.807
  84,6342835.602,2180322.740,342.784
  85,6342835.594,2180322.709,342.807
  86,6342835.614,2180322.713,342.820
  87,6342835.628,2180322.713,342.810
  88,6342835.609,2180322.703,342.777
  89,6342835.636,2180322.697,342.816
  90,6342835.620,2180322.693,342.790
  91,6342835.623,2180322.699,342.787
  92,6342835.639,2180322.705,342.810
  93,6342835.635,2180322.671,342.803
