accX,accY,accZ,gX,gY,gZ,gyrX,gyrY,gyrZ,mX,mY,mZ,oZ,oX,oY,delta
-0.6859,0.5291,9.6043,-0.7049,0.4194,9.7723,0.0428,0.0024,0.0232,4.6,17.1,-43.2,354.26,-2.45,4.13,4219
-0.7386,0.4693,9.3577,-0.6941,0.4617,9.7712,0.0049,-0.055,-0.0232,4.5,17,-43.4,354.23,-2.64,4.09,4322
-0.7051,0.5219,9.584,-0.6793,0.4603,9.7723,0.0061,0.0049,0.0061,4.5,17,-43.4,353.97,-2.7,3.97,4424
-0.6452,0.571,9.4822,-0.6834,0.4425,9.7728,-0.0305,0.0159,0.0159,4.3,17,-43.3,356.97,-2.63,3.98,4525
-0.826,0.4848,9.7504,-0.6786,0.408,9.7746,-0.0049,-0.0281,0.033,4.3,17.1,-43.1,356.9,-2.39,3.97,4627
-0.5902,0.65,9.4894,-0.6692,0.4028,9.7755,0.0476,0.0183,0.0428,4.4,17.2,-43.4,356.78,-2.35,3.92,4729
-0.662,0.4633,9.4679,-0.6612,0.4385,9.7745,0.0171,-0.033,0.0012,4.4,17.1,-43.7,356.92,-2.56,3.87,4831
-0.6644,0.4513,9.6055,-0.645,0.4217,9.7763,-0.033,-0.0037,-0.0159,4.3,17.2,-43.6,356.72,-2.52,3.79,4934
-0.5435,0.6153,9.6235,-0.6279,0.4007,9.7783,-0.0012,-0.0501,-0.0122,4.3,17.1,-43.7,356.43,-2.34,3.67,5035
-0.6728,0.4872,9.8007,-0.6058,0.3868,9.7803,-0.0342,0.0232,-0.0159,4.3,17.1,-43.6,356.04,-2.32,3.51,5137
-0.7099,0.4393,9.7312,-0.6058,0.3914,9.7801,-0.0061,0.0024,-0.0012,4.4,17.1,-43.5,355.83,-2.31,3.5,5239
-0.7733,0.4274,9.6067,-0.6508,0.4006,9.7768,0.0415,0.0819,-0.0086,4.3,17.1,-43.5,356.22,-2.31,3.67,5342
-0.6177,0.5471,9.6558,-0.6735,0.4114,9.7748,-0.0122,-0.0159,0.044,4.4,17.1,-43.5,356.9,-2.43,3.96,5444
-0.7518,0.4441,9.6654,-0.6621,0.399,9.7761,-0.0171,-0.0098,0.022,4.4,17.2,-43.6,356.99,-2.37,3.91,5545
-0.5387,0.5363,9.5816,-0.6543,0.3931,9.7769,0.0061,-0.0061,0.0464,4.6,17,-43.5,353.55,-2.3,3.83,5648
-0.5698,0.5112,9.5852,-0.6344,0.3846,9.7785,-0.0195,-0.0134,0.0171,4.5,17,-43.5,353.36,-2.28,3.75,5749
-0.5794,0.4585,9.7252,-0.6194,0.3649,9.7803,-0.0257,-0.0171,0.0012,4.6,16.9,-43.5,353.11,-2.15,3.65,5851
-0.7063,0.3627,9.7181,-0.6184,0.3546,9.7807,0.011,-0.0244,-0.0024,4.5,16.9,-43.6,353.28,-2.07,3.65,5953
-0.6093,0.4537,9.6822,-0.6082,0.353,9.7814,-0.0195,0.0171,0.0024,4.5,17,-43.5,352.86,-2.06,3.56,6055
-0.7159,0.4286,9.5876,-0.6056,0.3477,9.7818,0.0024,-0.0122,-0.0293,4.5,17.1,-43.4,352.8,-2.07,3.53,6157
-0.662,0.4776,9.6247,-0.6081,0.3461,9.7817,0.0244,0.0086,0.0269,4.5,17.2,-43,352.76,-1.96,3.53,6260
-0.6524,0.4776,9.5229,-0.6151,0.359,9.7808,-0.0098,0.0049,0.0257,4.5,17.3,-43,352.84,-2.08,3.55,6361
-0.729,0.3998,9.681,-0.6213,0.3545,9.7805,-0.011,-0.0024,0.0122,4.3,17.4,-43.1,356.12,-2.07,3.64,6463
-0.5638,0.4369,9.5888,-0.6187,0.3467,9.781,-0.0134,-0.0073,0.011,4.3,17.4,-43,356.12,-2.07,3.64,6565
-0.662,0.4118,9.6774,-0.621,0.3283,9.7815,-0.0061,0.0073,0.0037,4.2,17.4,-43.2,356.09,-1.92,3.64,6667
-0.8344,0.3472,10.0126,-0.6179,0.3189,9.782,-0.0147,-0.0195,-0.0134,4.3,17.3,-43.1,356.01,-1.92,3.61,6769
-0.5734,0.5279,9.6151,-0.6244,0.3451,9.7807,0.0452,0.0232,0.0122,4.4,17.3,-43.7,356.26,-1.93,3.63,6871
-0.7027,0.4334,9.3889,-0.6288,0.3807,9.7791,0.0244,-0.0208,-0.0012,4.5,17.4,-43.5,353.17,-2.14,3.68,6973
-0.7015,0.4034,9.7049,-0.6127,0.3715,9.7804,-0.0098,-0.0049,-0.0024,4.5,17.3,-43.5,352.95,-2.18,3.58,7078
-0.7506,0.4417,9.7695,-0.6133,0.3657,9.7806,-0.0061,-0.0171,0.0037,4.4,17.2,-43,356.02,-2.17,3.6,7178
-0.6835,0.4154,9.7013,-0.6059,0.3636,9.7812,-0.0134,0.0073,-0.0122,4.3,17.2,-43.1,355.9,-2.13,3.55,7279
-0.8033,0.3651,9.7875,-0.603,0.3447,9.782,-0.0269,-0.0024,-0.0037,4.2,17.2,-43.1,355.8,-2.12,3.5,7381
-0.5626,0.4453,9.5529,-0.6047,0.3452,9.7819,-0.0049,0,0.022,4.2,17.2,-42.9,355.86,-2.02,3.54,7483
-0.5734,0.4573,9.6007,-0.5973,0.3309,9.7829,-0.0244,-0.0452,0.0086,4.2,17.2,-42.5,355.64,-1.93,3.54,7586
-0.7087,0.3687,9.7695,-0.5877,0.3101,9.7841,-0.0049,0.011,-0.0171,4.1,17.4,-42.2,355.37,-1.82,3.42,7687
-0.6261,0.3903,9.6546,-0.5895,0.3224,9.7836,0.0049,0.0049,0.0049,4.1,17.4,-42.4,355.43,-1.86,3.45,7789
-0.5602,0.4669,9.3817,-0.5913,0.3326,9.7832,0.0061,0.0012,0.0208,4.1,17.5,-42.7,355.89,-1.94,3.46,7892
-0.7518,0.3112,9.7432,-0.5836,0.3078,9.7844,-0.0147,0.0012,0.0061,4.1,17.5,-42.8,355.79,-1.84,3.42,7993
-0.5375,0.4142,9.7193,-0.5959,0.2946,9.7841,0,0.0244,0.0086,4.1,17.5,-42.5,355.65,-1.74,3.45,8095
-0.5303,0.3723,9.8318,-0.6021,0.2894,9.7839,-0.0244,0.0073,-0.0403,4,17.5,-42.4,355.83,-1.72,3.53,8198
0.2071,0.3519,9.8593,-0.6024,0.34,9.7822,0.1002,0.0293,-0.1833,4,17.7,-42.3,355.79,-1.81,3.51,8299
0.7661,0.5722,9.7636,-0.4836,0.4599,9.7839,0.2358,-0.347,-0.617,3.9,17.7,-42.4,355.44,-2.48,3.3,8401
0.3388,0.7566,10.1239,-0.4633,0.5348,9.7811,-0.0183,0.2309,-0.7294,3,17.3,-42.6,357.15,-3.13,2.71,8503
0.2334,0.8368,9.8043,-0.602,0.4942,9.7757,0,0.1295,-1.1496,2.1,17.2,-42.7,1.31,-2.94,3.25,8605
-1.0774,0.1784,9.6211,-0.8627,0.5482,9.7532,0.5009,0.2712,-1.3928,0.3,17,-43.1,11.07,-3.2,5.05,8707
-0.3555,0.7039,9.894,-1.1644,0.929,9.6929,0.3421,0.0293,-1.6127,-1.6,16.3,-44.1,19.62,-5.11,6.63,8810
-1.2426,0.1879,9.9467,-1.3201,0.9725,9.6686,0.2859,-0.0195,-1.8851,-3.3,15.2,-44.7,24.73,-5.71,7.57,8911
-0.6788,-0.8212,10.0245,-1.2211,1.1852,9.6579,0.4814,-0.4789,-2.2932,-7.9,11.1,-45.3,41.16,-6.55,7.62,9014
-1.0271,-1.4102,9.183,-1.2373,1.1282,9.6626,0.38,-0.5449,-2.6023,-11.5,7.3,-45.7,55.01,-6.38,7.55,9115
