accX,accY,accZ,gX,gY,gZ,gyrX,gyrY,gyrZ,mX,mY,mZ,oZ,oX,oY,delta
-0.164,0.0766,9.7707,-0.0051,0.0458,9.8065,0.0122,0.0147,0.0183,-3,21.4,-43.5,8.11,-0.27,0.03,4125
-0.1616,0.1125,9.7707,-0.0223,0.0443,9.8065,-0.0098,0.0183,-0.0024,-2.9,21.4,-43.7,8.32,-0.26,0.13,4228
-0.1652,0.0563,9.7588,-0.0377,0.0307,9.8065,0.0159,0.0257,-0.0049,-2.9,21.5,-43.6,8.15,-0.18,0.22,4330
-0.1365,0.1125,9.6546,-0.049,0.0373,9.8065,-0.0073,0.011,-0.0086,-2.8,21.4,-43.8,8.75,-0.22,0.34,4432
-0.176,0.0299,9.7552,-0.0341,0.0361,9.8065,-0.0049,-0.0257,-0.0147,-2.7,21.3,-43.5,8.47,-0.21,0.2,4533
-0.1772,0.0682,9.7145,-0.0135,0.0412,9.8066,0.011,-0.0208,0.0122,-2.7,21.2,-43.5,8.31,-0.27,0.13,4636
-0.1281,0.0658,9.8497,-3.00E-04,0.0505,9.8065,0.0073,-0.0305,-0.0098,-2.8,21.3,-43.3,8.05,-0.3,0,4738
-0.1832,0.1532,9.6642,-0.0071,0.0402,9.8066,-0.0159,-0.011,0.0024,-2.9,21.3,-43.3,8.15,-0.23,0.04,4840
-0.1113,0.1281,9.6486,-0.0167,0.0439,9.8065,-0.0012,0.0147,0,-2.9,21.3,-42.9,8.25,-0.26,0.1,4941
-0.097,0.0766,9.6666,-0.013,0.0504,9.8065,-0.0086,-0.0073,-0.0037,-2.9,21.3,-43.1,8.23,-0.26,0.09,5043
-0.0599,0.0922,9.748,0.0063,0.0463,9.8065,-0.011,-0.0281,0.0049,-2.9,21.2,-43.3,7.98,-0.27,-0.04,5146
-0.0754,0.1233,9.7169,0.0118,0.045,9.8065,0.011,-0.0086,0.0171,-3,21.3,-43.5,7.92,-0.26,-0.07,5248
-0.1101,0.085,9.8162,0.0218,0.0323,9.8066,0.0159,0,-0.0012,-3.1,21.2,-43.8,7.81,-0.19,-0.13,5349
